"i","n","fsc","chl","pe","file","norm.fsc","norm.chl"
"picoeuk",8519,1038,500,1,"2017-02-23T21-54-39+00-00",7.14,63.55
"picoeuk",7483,1135,529,1,"2017-02-23T21-57-39+00-00",7.81,69.49
"picoeuk",1771,296,500,1,"2017-02-23T22-14-17+00-00",2.04,18.12
"picoeuk",2174,296,496,1,"2017-02-23T22-17-17+00-00",2.04,18.12
"picoeuk",996,713,1115,1,"2017-02-23T22-34-56+00-00",4.91,43.65
"picoeuk",718,666,1037,1,"2017-02-23T22-37-56+00-00",4.58,40.78
"picoeuk",1779,570,699,1,"2017-02-23T22-58-54+00-00",3.92,34.9
"picoeuk",1790,567,692,1,"2017-02-23T23-01-54+00-00",3.9,34.71
"picoeuk",20,95,597,1,"2017-02-23T23-20-40+00-00",0.65,5.82
"picoeuk",33,85,617,1,"2017-02-23T23-23-41+00-00",0.58,5.2
"picoeuk",1091,107,68,1,"2017-02-24T23-14-13+00-00",0.74,6.55
"picoeuk",938,102,65,1,"2017-02-24T23-17-14+00-00",0.7,6.24
"picoeuk",7037,33,19,2,"2017-05-05T20-42-00+00-00",0.05,0.99
"picoeuk",4959,36,19,2,"2017-05-05T20-45-00+00-00",0.05,1.09
"picoeuk",5602,21,30,2,"2017-05-05T21-00-59+00-00",0.03,0.63
"picoeuk",4836,22,30,2,"2017-05-05T21-03-59+00-00",0.03,0.66
"picoeuk",1660,16,6,2,"2017-05-05T21-20-05+00-00",0.02,0.48
"picoeuk",816,15,6,1,"2017-05-05T21-23-05+00-00",0.02,0.45
"picoeuk",3904,35,44,2,"2017-05-05T21-30-52+00-00",0.05,1.06
"picoeuk",3667,33,42,2,"2017-05-05T21-33-52+00-00",0.05,0.99
"picoeuk",5784,79,71,73,"2017-05-05T22-00-33+00-00",0.11,2.38
"picoeuk",5887,75,70,70,"2017-05-05T22-03-33+00-00",0.11,2.26
"picoeuk",216,79,81,84,"2017-05-05T22-25-06+00-00",0.11,2.38
"picoeuk",1310,72,72,75,"2017-05-05T22-28-06+00-00",0.1,2.17
