scatter,diam_mid,diam_upr,diam_lwr,Qc_mid,Qc_upr,Qc_lwr
0.000100054,0.365917052,0.449822942,0.32212821,0.005643785,0.010484483,0.003850421
0.000100233,0.366027122,0.44996087,0.322226429,0.005648884,0.010494113,0.00385394
0.000100413,0.366137389,0.450098517,0.322322586,0.005653993,0.010503758,0.003857398
0.000100594,0.366247855,0.45023627,0.322418916,0.005659111,0.010513419,0.003860862
0.000100774,0.366358518,0.45037427,0.322515419,0.005664238,0.010523098,0.003864332
0.000100955,0.366469381,0.450512518,0.322612095,0.005669374,0.010532795,0.003867808
0.000101137,0.366580428,0.450651014,0.322708944,0.005674521,0.010542509,0.003871291
0.000101319,0.366691537,0.450789759,0.322805968,0.005679692,0.01055224,0.00387478
0.000101501,0.366802846,0.450928753,0.322903166,0.005684873,0.010561989,0.003878275
0.000101683,0.366914354,0.451067533,0.322999883,0.005690063,0.010571735,0.003881761
0.000101865,0.367026063,0.451205325,0.323096163,0.005695263,0.010581444,0.003885239
0.000102048,0.367137972,0.451343363,0.323192617,0.005700471,0.01059117,0.003888724
0.000102232,0.367250082,0.45148165,0.323289244,0.005705689,0.010600914,0.003892214
0.000102415,0.367362394,0.451620185,0.323386044,0.005710917,0.010610675,0.003895711
0.000102599,0.367474197,0.451758969,0.323483019,0.005716132,0.010620454,0.003899215
0.000102784,0.367585453,0.451898002,0.323580167,0.005721335,0.010630251,0.003902724
0.000102968,0.367696909,0.452037285,0.32367749,0.005726546,0.010640065,0.00390624
0.000103153,0.367808565,0.452175424,0.323775032,0.005731767,0.010649833,0.003909778
0.000103339,0.367920422,0.452313383,0.323872756,0.005736998,0.010659599,0.003913324
0.000103524,0.368032479,0.452451591,0.323970656,0.005742237,0.010669382,0.003916877
0.00010371,0.368144738,0.452590046,0.324068731,0.005747487,0.010679183,0.003920437
0.000103896,0.368257199,0.45272875,0.324166982,0.005752745,0.010689001,0.003924002
0.000104083,0.368368392,0.452867703,0.32426541,0.005757966,0.010698837,0.003927574
0.00010427,0.368479595,0.453006906,0.324364015,0.00576319,0.010708691,0.003931153
0.000104457,0.368590999,0.4531462,0.324462464,0.005768423,0.010718563,0.00393473
0.000104645,0.368702602,0.453285291,0.324559981,0.005773666,0.010728454,0.003938285
0.000104833,0.368814406,0.453424633,0.324657673,0.005778918,0.010738363,0.003941847
