"i","n","fsc","chl","ssc","pe","file"
"beads","2105","54","9","2776","1576","E Hux long count 500.3ul.fcs"
"picoeuk","1260","458","230","4525","8","E Hux long count 500.3ul.fcs"
"picoeuk","991","434","131","4104","7","E Hux round 2 500.5ul.fcs"
"beads","2010","54","5","2764","1566","E Hux round 2 500.5ul.fcs"
"picoeuk","606","1022","2188","8895","102","Licmophora long count 496ul.fcs"
"beads","2344","54","4","2778","1576","Licmophora long count 496ul.fcs"
"beads","2288","54","4","2766","1575","Licmophora round 2 500.12ul.fcs"
"picoeuk","583","1019","2179","8896","97","Licmophora round 2 500.12ul.fcs"
"picoeuk","6228","51","64","292","1","Micromonas long count 300.3ul.fcs"
"beads","1330","53","33","2767","1563","Micromonas long count 300.3ul.fcs"
"picoeuk","5406","47","46","292","1","Micromonas round 2 300.22ul.fcs"
"beads","1171","54","24","2766","1571","Micromonas round 2 300.22ul.fcs"
"picoeuk","8296","144","107","2130","4","Navicula long count 300.45ul.fcs"
"beads","1747","43","4","2788","1493","Navicula long count 300.45ul.fcs"
"picoeuk","6911","137","107","2091","4","Navicula round 2 300ul.fcs"
"beads","1631","43","4","2809","1503","Navicula round 2 300ul.fcs"
"picoeuk","21393","66","294","2516","5","Pt 632 long count 150.46ul.fcs"
"beads","674","53","9","2779","1571","Pt 632 long count 150.46ul.fcs"
"picoeuk","10333","46","152","2408","5","Pt 632 long count 200.18ul.fcs"
"beads","1125","43","4","2790","1499","Pt 632 long count 200.18ul.fcs"
"picoeuk","20600","83","153","2554","5","Pt 632 round 2 150.2ul.fcs"
"beads","644","54","4","2766","1575","Pt 632 round 2 150.2ul.fcs"
"picoeuk","9571","47","149","2412","5","Pt 632 round 2 200.1ul.fcs"
"beads","1029","43","4","2811","1501","Pt 632 round 2 200.1ul.fcs"
"picoeuk","4653","338","205","2304","13","Tp 1335 long count 300.28ul.fcs"
"beads","1674","43","4","2810","1499","Tp 1335 long count 300.28ul.fcs"
"picoeuk","4158","342","205","2215","12","Tp 1335 round 2 302ul.fcs"
"beads","1672","43","4","2814","1505","Tp 1335 round 2 302ul.fcs"
"picoeuk","5421","300","129","1740","9","Tp 3367 long count 200.57ul.fcs"
"beads","1131","43","4","2789","1495","Tp 3367 long count 200.57ul.fcs"
"picoeuk","5395","302","127","1610","9","Tp 3367 round 2 199.97ul.fcs"
"beads","1065","43","4","2810","1497","Tp 3367 round 2 199.97ul.fcs"
"picoeuk","4692","529","631","8832","38","Tw 3365 long count 300.25ul.fcs"
"beads","1753","42","4","2772","1490","Tw 3365 long count 300.25ul.fcs"
"picoeuk","4718","544","628","8885","38","Tw 3365 round 2 300.24ul.fcs"
"beads","1753","43","4","2811","1500","Tw 3365 round 2 300.24ul.fcs"
"picoeuk","18990","66","111","209","1","1314A.fcs"
"beads","592","2282","290","2445","911","1314A.fcs"
"picoeuk","18883","66","112","209","1","1314B.fcs"
"beads","556","2289","289","2427","909","1314B.fcs"
"picoeuk","21226","611","911","1197","182","7803A.fcs"
"beads","590","2303","290","2462","909","7803A.fcs"
"picoeuk","20784","609","918","1206","184","7803B.fcs"
"beads","600","2304","289","2481","909","7803B.fcs"
"picoeuk","174237","91","50","152","1","AS9601A.fcs"
"beads","634","2316","292","2429","911","AS9601A.fcs"
"picoeuk","173912","90","50","151","1","AS9601B.fcs"
"beads","644","2315","291","2426","910","AS9601B.fcs"
"picoeuk","95705","47","14","95","1","Med4A.fcs"
"beads","606","2337","287","2291","900","Med4A.fcs"
"picoeuk","94957","47","14","95","1","Med4B.fcs"
"beads","527","2348","289","2328","907","Med4B.fcs"
"picoeuk","4464","128","132","241","1","Nat12A A.fcs"
"beads","655","2271","288","2428","906","Nat12A A.fcs"
"picoeuk","4300","127","131","244","1","Nat12A B.fcs"
"beads","675","2265","287","2406","909","Nat12A B.fcs"
"picoeuk","47257","479","748","367","214","WH8102A.fcs"
"beads","618","2249","288","2397","907","WH8102A.fcs"
"picoeuk","41170","473","737","357","212","WH8102B.fcs"
"beads","625","2253","288","2426","906","WH8102B.fcs"
