Sample ID,Date,Tray ID,Well ID,Volume Filtered (ml),N [mg],C [mg],"Blank N, mg","Blank C, mg",Blank Corrected N [ug],Blank Corrected C [ug],C (ug/ml),N (ug/ml),CN Molar Ratio
TAPS 1135,42789,1.GW C-Expt,A4,100,0.005983,0.037871,0.002774667,0.015874222,3.208333333,21.99677778,0.219967778,0.032083333,7.995327244
TAPS 1135,42789,1.GW C-Expt,A5,100,0.005018,0.050434,0.002774667,0.015874222,2.243333333,34.55977778,0.345597778,0.022433333,17.96527178
TAPS 1135,42789,1.GW C-Expt,A6,100,0.004897,0.038251,0.002774667,0.015874222,2.122333333,22.37677778,0.223767778,0.021223333,12.29534201
TAPS 1135,42789,1.GW C-Expt,A7,100,0.004766,0.050674,0.002774667,0.015874222,1.991333333,34.79977778,0.347997778,0.019913333,20.37929552
TAPS 3367,42789,1.GW C-Expt,A8,50,0.00277,0.026505,0.001387333,0.007937111,1.382666667,18.56788889,0.371357778,0.027653333,15.66035835
TAPS 3367,42789,1.GW C-Expt,A9,50,0.00268,0.027009,0.001387333,0.007937111,1.292666667,19.07188889,0.381437778,0.025853333,17.20536213
TAPS 3367,42789,1.GW C-Expt,A10,50,0.008306,0.031257,0.001387333,0.007937111,6.918666667,23.31988889,0.466397778,0.138373333,3.930617012
NAV,42789,1.GW C-Expt,A11,75,0.004673,0.029095,0.002081,0.011905667,2.592,17.18933333,0.229191111,0.03456,7.733582025
NAV,42789,1.GW C-Expt,A12,75,0.003766,0.027355,0.002081,0.011905667,1.685,15.44933333,0.205991111,0.022466667,10.69218583
NAV,42789,1.GW C-Expt,B1,75,0.004622,0.027452,0.002081,0.011905667,2.541,15.54633333,0.207284444,0.03388,7.134769879
PT 632,42789,1.GW C-Expt,B2,50,0.006034,0.040976,0.001387333,0.007937111,4.646666667,33.03888889,0.660777778,0.092933333,8.291642602
PT 632,42789,1.GW C-Expt,B3,50,0.006013,0.036678,0.001387333,0.007937111,4.625666667,28.74088889,0.574817778,0.092513333,7.245736262
PT 632,42789,1.GW C-Expt,B4,50,0.005616,0.045064,0.001387333,0.007937111,4.228666667,37.12688889,0.742537778,0.084573333,10.23862804
LICMO,42790,1.GW C-Expt,C6,50,0.009545,0.059141,0.0017455,0.011847167,7.7995,47.29383333,0.945876667,0.15599,7.071221056
LICMO,42790,1.GW C-Expt,B5,50,0.008347,0.064145,0.0017455,0.011847167,6.6015,52.29783333,1.045956667,0.13203,9.238420566
LICMO,42790,1.GW C-Expt,B12,50,0.008648,0.058985,0.0017455,0.011847167,6.9025,47.13783333,0.942756667,0.13805,7.963791131
PT 632,42790,1.GW C-Expt,B7,50,0.014675,0.089939,0.0017455,0.011847167,12.9295,78.09183333,1.561836667,0.25859,7.043370729
PT 632,42790,1.GW C-Expt,C3,50,0.014335,0.090059,0.0017455,0.011847167,12.5895,78.21183333,1.564236667,0.25179,7.244703965
PT 632,42790,1.GW C-Expt,C5,50,0.012901,0.090125,0.0017455,0.011847167,11.1555,78.27783333,1.565556667,0.22311,8.182884394
MICRO,42790,1.GW C-Expt,C2,50,0.003591,0.016174,0.0017455,0.011847167,1.8455,4.326833333,0.086536667,0.03691,2.734089816
MICRO,42790,1.GW C-Expt,C7,50,0.003384,0.0168,0.0017455,0.011847167,1.6385,4.952833333,0.099056667,0.03277,3.525039015
MICRO,42790,1.GW C-Expt,B8,50,0.003608,0.020564,0.0017455,0.011847167,1.8625,8.716833333,0.174336667,0.03725,5.457818899
EHUX,42790,1.GW C-Expt,B11,26,0.002799,0.026704,0.00090766,0.006160527,1.89134,20.54347333,0.79013359,0.072743846,12.66662534
MED4,42860,1.GW C-Expt,C10,30,0.021751,0.133238,0.003892667,0.035368,17.85833333,97.87,3.262333333,0.595277778,6.390948579
MED4,42860,1.GW C-Expt,C12,30,0.022104,0.132653,0.003892667,0.035368,18.21133333,97.285,3.242833333,0.607044444,6.22960915
MED4,42860,1.GW C-Expt,D7,30,0.022304,0.132549,0.003892667,0.035368,18.41133333,97.181,3.239366667,0.613711111,6.155350429
7803,42860,1.GW C-Expt,D5,30,0.063823,0.398548,0.003892667,0.035368,59.93033333,363.18,12.106,1.997677778,7.066947923
7803,42860,1.GW C-Expt,D8,30,0.067955,0.393067,0.003892667,0.035368,64.06233333,357.699,11.9233,2.135411111,6.511358887
7803,42860,1.GW C-Expt,C11,30,0.065452,0.376356,0.003892667,0.035368,61.55933333,340.988,11.36626667,2.051977778,6.459543804
WH8102,42860,1.GW C-Expt,D3,30,0.061069,0.374473,0.003892667,0.035368,57.17633333,339.105,11.3035,1.905877778,6.916311616
WH8102,42860,1.GW C-Expt,D4,30,0.062351,0.383231,0.003892667,0.035368,58.45833333,347.863,11.59543333,1.948611111,6.939344824
WH8102,42860,1.GW C-Expt,D9,30,0.068261,0.388059,0.003892667,0.035368,64.36833333,352.691,11.75636667,2.145611111,6.38967506
AS9601,42860,1.GW C-Expt,D6,30,0.044593,0.290711,0.003892667,0.035368,40.70033333,255.343,8.511433333,1.356677778,7.316150831
AS9601,42860,1.GW C-Expt,D11,30,0.046347,0.316787,0.003892667,0.035368,42.45433333,281.419,9.380633333,1.415144444,7.73015229
AS9601,42860,1.GW C-Expt,D12,30,0.048611,0.302023,0.003892667,0.035368,44.71833333,266.655,8.8885,1.490611111,6.953777373
1314,42860,1.GW C-Expt,D2,30,0.008198,0.059414,0.003892667,0.035368,4.305333333,24.046,0.801533333,0.143511111,6.513174608
1314,42860,1.GW C-Expt,E4,30,0.0071,0.054891,0.003892667,0.035368,3.207333333,19.523,0.650766667,0.106911111,7.098377899
1314,42860,1.GW C-Expt,E5,30,0.006103,0.056437,0.003892667,0.035368,2.210333333,21.069,0.7023,0.073677778,11.11585338
NAT12A,42860,1.GW C-Expt,E6,30,0.005283,0.047794,0.003892667,0.035368,1.390333333,12.426,0.4142,0.046344444,10.42243209
NAT12A,42860,1.GW C-Expt,E8,30,0.005024,0.044875,0.003892667,0.035368,1.131333333,9.507,0.3169,0.037711111,9.799627563
NAT12A,42860,1.GW C-Expt,E2,30,0.005611,0.047992,0.003892667,0.035368,1.718333333,12.624,0.4208,0.057277778,8.567344506
